Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.36892E-3,51.524365938,0.736819118,0.021194365,0.384615385,0
1.39914E-3,51.801801651,0.744460707,0.020945019,0.384615385,0
1.41856E-3,52.083735265,0.749255591,0.020695674,0.384615385,0
1.42582E-3,52.368480634,0.751022934,0.020446328,0.384615385,0
1.43446E-3,52.511926839,0.753113245,0.020321656,0.384615385,0
1.44216E-3,52.79985123,0.75495995,0.02007231,0.384615385,0
1.47067E-3,53.091383721,0.761679157,0.019822965,0.384615385,0
1.47142E-3,53.385601861,0.761852577,0.019573619,0.384615385,0
1.47605E-3,53.533206467,0.762924463,0.019448947,0.384615385,0
1.48385E-3,53.829249908,0.76472241,0.019199601,0.384615385,0
1.49296E-3,54.127198548,0.766802436,0.018950256,0.384615385,0
1.49763E-3,54.276962024,0.767863296,0.018825583,0.423076923,0
1.52283E-3,54.580165855,0.773497368,0.018576237,0.423076923,0
1.52946E-3,54.885412878,0.774956957,0.018326892,0.423076923,0
1.53064E-3,55.038477352,0.775216765,0.018202219,0.423076923,0
1.53379E-3,55.344939798,0.775905448,0.017952874,0.423076923,0
1.54108E-3,55.65259196,0.777491972,0.017703528,0.423076923,0
1.55492E-3,55.808083566,0.780474545,0.017578856,0.423076923,0
1.56755E-3,56.120336686,0.783163352,0.01732951,0.423076923,0
