x,y,species cloglog values
592.0,592.0,9.114931E-14
593.0,593.0,0.008546227
594.0,594.0,0.021736035
595.0,595.0,0.29315978
596.0,596.0,1.0282044E-5
597.0,597.0,0.0025450608
598.0,598.0,0.083963275
599.0,599.0,3.5090486E-11
600.0,600.0,0.9853323
601.0,601.0,0.0010544314
602.0,602.0,0.0034641153
603.0,603.0,0.51882887
604.0,604.0,0.053445995
605.0,605.0,0.10363508
606.0,606.0,1.7120574E-4
607.0,607.0,0.020798204
608.0,608.0,0.0
609.0,609.0,0.06511274
610.0,610.0,0.060340445
611.0,611.0,0.04975236
612.0,612.0,0.0013881472
613.0,613.0,1.5024892E-5
614.0,614.0,0.024101203
615.0,615.0,0.10233805
616.0,616.0,0.68015695
617.0,617.0,0.015429601
618.0,618.0,1.6736712E-5
619.0,619.0,2.1781761E-5
620.0,620.0,0.001019576
621.0,621.0,0.10318229
622.0,622.0,1.2101431E-14
623.0,623.0,0.012189316
624.0,624.0,6.994405E-15
625.0,625.0,7.3918505E-7
626.0,626.0,5.5948997E-9
627.0,627.0,3.7525538E-14
628.0,628.0,0.78316337
629.0,629.0,5.278617E-5
630.0,630.0,3.7961856E-12
631.0,631.0,3.6097074E-8
632.0,632.0,6.1424327E-4
633.0,633.0,0.9750702
634.0,634.0,6.550316E-15
635.0,635.0,0.02389031
636.0,636.0,0.0016632461
637.0,637.0,8.058591E-7
638.0,638.0,0.028099414
639.0,639.0,2.0351152E-4
640.0,640.0,0.027582176
641.0,641.0,0.012389523
642.0,642.0,1.3946937E-4
643.0,643.0,1.4654944E-13
644.0,644.0,2.6090241E-14
645.0,645.0,0.45549706
646.0,646.0,9.454577E-5
647.0,647.0,2.704105E-7
648.0,648.0,0.039799236
649.0,649.0,5.433035E-7
650.0,650.0,0.028316109
651.0,651.0,1.8335508E-5
652.0,652.0,6.179163E-5
653.0,653.0,1.7097435E-14
654.0,654.0,0.016590752
655.0,655.0,8.0080387E-13
656.0,656.0,5.5820297E-4
657.0,657.0,7.8825835E-14
658.0,658.0,0.0024353852
659.0,659.0,1.110223E-15
660.0,660.0,0.014150975
661.0,661.0,0.002071023
662.0,662.0,0.0070030265
663.0,663.0,0.022369424
664.0,664.0,1.3433737E-4
665.0,665.0,0.017368244
666.0,666.0,0.040060893
667.0,667.0,0.035714187
668.0,668.0,8.8278536E-4
669.0,669.0,0.0012861846
670.0,670.0,7.7150315E-7
671.0,671.0,0.014854172
672.0,672.0,7.186078E-4
673.0,673.0,0.04233805
674.0,674.0,0.04257518
675.0,675.0,7.771561E-16
676.0,676.0,0.0
677.0,677.0,2.2981617E-14
678.0,678.0,0.2238189
679.0,679.0,6.8558743E-6
680.0,680.0,3.335472E-9
681.0,681.0,0.038991675
682.0,682.0,2.220446E-15
683.0,683.0,0.032928076
684.0,684.0,0.0013306581
685.0,685.0,4.93072E-7
686.0,686.0,0.010442827
687.0,687.0,0.056512758
688.0,688.0,0.003341135
689.0,689.0,0.008412123
690.0,690.0,2.510485E-5
691.0,691.0,0.3056624
692.0,692.0,5.3503055E-7
693.0,693.0,0.022546608
694.0,694.0,1.0056132E-5
695.0,695.0,0.030750787
696.0,696.0,0.0098364055
697.0,697.0,1.8571768E-7
698.0,698.0,0.013582025
699.0,699.0,1.110223E-16
700.0,700.0,0.019390456
701.0,701.0,0.06762417
702.0,702.0,0.0075783753
703.0,703.0,2.220446E-16
704.0,704.0,2.2759572E-14
705.0,705.0,3.7747583E-15
706.0,706.0,0.49060228
707.0,707.0,0.010293363
708.0,708.0,0.0014335692
709.0,709.0,0.001984138
710.0,710.0,0.029463798
711.0,711.0,0.008101485
712.0,712.0,1.2905043E-5
713.0,713.0,0.100243285
714.0,714.0,2.1942475E-4
715.0,715.0,6.1763575E-7
716.0,716.0,0.012059396
717.0,717.0,2.509104E-14
718.0,718.0,0.0757904
719.0,719.0,0.111272596
720.0,720.0,0.041633394
721.0,721.0,4.14321E-4
722.0,722.0,0.087682664
723.0,723.0,1.06746316E-4
724.0,724.0,3.3444785E-9
725.0,725.0,0.0032061844
726.0,726.0,2.443934E-12
727.0,727.0,0.04160356
728.0,728.0,0.014453643
729.0,729.0,0.0819864
730.0,730.0,8.904431E-5
731.0,731.0,0.02496088
732.0,732.0,4.151876E-4
733.0,733.0,0.003685709
734.0,734.0,2.2792879E-12
735.0,735.0,0.0010966965
736.0,736.0,1.44329E-14
737.0,737.0,1.3478108E-13
738.0,738.0,5.268928E-4
739.0,739.0,3.280213E-7
740.0,740.0,0.06334817
741.0,741.0,1.3316126E-11
742.0,742.0,1.1365797E-11
743.0,743.0,9.328142E-4
744.0,744.0,0.009391674
745.0,745.0,0.8524046
746.0,746.0,1.3907434E-5
747.0,747.0,0.045222964
748.0,748.0,0.008506651
749.0,749.0,0.0020847088
750.0,750.0,1.0891288E-13
751.0,751.0,1.02917674E-13
752.0,752.0,9.995145E-4
753.0,753.0,1.7741364E-13
754.0,754.0,0.0029839124
755.0,755.0,0.0770805
756.0,756.0,0.0036925846
757.0,757.0,0.019095453
758.0,758.0,2.7798466E-8
759.0,759.0,0.0050056917
760.0,760.0,0.9167441
761.0,761.0,5.3968607E-11
762.0,762.0,0.02344201
763.0,763.0,4.775989E-4
764.0,764.0,7.053247E-13
765.0,765.0,0.002939367
766.0,766.0,2.888201E-7
767.0,767.0,1.7430501E-14
768.0,768.0,0.003929738
769.0,769.0,1.3083423E-11
770.0,770.0,1.4457213E-11
771.0,771.0,0.0066516954
772.0,772.0,4.608519E-10
773.0,773.0,0.047418892
774.0,774.0,0.1238781
775.0,775.0,0.14507866
776.0,776.0,3.59787E-7
777.0,777.0,0.06473202
778.0,778.0,1.5665247E-13
779.0,779.0,7.664317E-5
780.0,780.0,1.01704756E-10
781.0,781.0,0.002689279
782.0,782.0,9.962034E-4
783.0,783.0,1.1290968E-12
784.0,784.0,0.0036338007
785.0,785.0,5.033196E-10
786.0,786.0,9.90644E-4
787.0,787.0,0.0
788.0,788.0,1.757552E-5
789.0,789.0,1.6564869E-6
790.0,790.0,0.05677764
791.0,791.0,0.28846076
792.0,792.0,0.0056810174
793.0,793.0,0.09167296
794.0,794.0,1.0244319E-5
795.0,795.0,3.1530334E-14
796.0,796.0,0.17497495
797.0,797.0,2.066125E-13
798.0,798.0,0.1752
799.0,799.0,0.055554606
800.0,800.0,0.0019029015
801.0,801.0,0.0024657643
802.0,802.0,9.903267E-4
803.0,803.0,7.3253777E-4
804.0,804.0,0.07066769
805.0,805.0,0.999381
806.0,806.0,8.173462E-13
807.0,807.0,6.2875183E-10
808.0,808.0,9.0483177E-14
809.0,809.0,1.4932155E-4
810.0,810.0,1.1762813E-12
811.0,811.0,0.04350329
812.0,812.0,0.075759344
813.0,813.0,4.356112E-5
814.0,814.0,0.89726216
815.0,815.0,7.5737407E-6
816.0,816.0,0.11192024
817.0,817.0,0.44451252
818.0,818.0,0.011162941
819.0,819.0,0.051508788
820.0,820.0,2.3203661E-14
821.0,821.0,1.0440615E-10
822.0,822.0,1.0469403E-13
823.0,823.0,0.01401356
824.0,824.0,0.2568713
825.0,825.0,3.0310199E-12
826.0,826.0,0.13794887
827.0,827.0,3.983285E-5
828.0,828.0,0.0030286042
829.0,829.0,5.122569E-13
830.0,830.0,1.8368359E-5
831.0,831.0,3.0793121E-6
832.0,832.0,0.33964458
833.0,833.0,0.032686513
834.0,834.0,0.006410592
835.0,835.0,3.1546013E-5
836.0,836.0,0.14567228
837.0,837.0,1.110223E-16
838.0,838.0,0.8280623
839.0,839.0,0.20459476
840.0,840.0,8.048863E-5
841.0,841.0,1.110223E-16
842.0,842.0,9.068772E-6
843.0,843.0,0.031882577
844.0,844.0,3.3257416E-7
845.0,845.0,0.4017151
846.0,846.0,1.110223E-16
847.0,847.0,1.3250645E-10
848.0,848.0,4.4237176E-8
849.0,849.0,5.468592E-5
850.0,850.0,8.970602E-14
851.0,851.0,3.319567E-14
852.0,852.0,2.0207197E-5
853.0,853.0,0.058063965
854.0,854.0,0.0
855.0,855.0,1.1113374E-5
856.0,856.0,0.049212378
857.0,857.0,0.3031064
858.0,858.0,6.3282712E-15
859.0,859.0,1.5400759E-6
860.0,860.0,1.1481927E-12
861.0,861.0,8.858376E-5
862.0,862.0,0.556657
863.0,863.0,0.19665425
864.0,864.0,6.62137E-13
865.0,865.0,0.01610913
866.0,866.0,0.0023578815
867.0,867.0,1.2027837E-4
868.0,868.0,6.9728445E-11
869.0,869.0,0.014744898
870.0,870.0,0.05277181
871.0,871.0,5.440093E-15
872.0,872.0,0.021344515
873.0,873.0,5.0597056E-4
874.0,874.0,1.6269521E-5
875.0,875.0,1.3165123E-9
876.0,876.0,9.1931067E-4
877.0,877.0,0.0043289615
878.0,878.0,0.016564282
879.0,879.0,2.3023127E-5
880.0,880.0,0.0016532762
881.0,881.0,0.15740412
882.0,882.0,0.048252456
883.0,883.0,0.0011862215
884.0,884.0,0.035670977
885.0,885.0,6.631349E-7
886.0,886.0,5.9921567E-6
887.0,887.0,1.6355117E-10
888.0,888.0,4.4214858E-6
889.0,889.0,0.40469694
890.0,890.0,7.618022E-7
891.0,891.0,0.0050955038
892.0,892.0,0.03493935
893.0,893.0,1.110223E-16
894.0,894.0,0.0060620215
895.0,895.0,0.07490835
896.0,896.0,0.04253518
897.0,897.0,1.6767032E-11
898.0,898.0,0.42472255
899.0,899.0,0.0018648524
900.0,900.0,0.008404307
901.0,901.0,0.09386535
902.0,902.0,0.060099307
903.0,903.0,0.054768033
904.0,904.0,2.0378667E-4
905.0,905.0,0.069194034
906.0,906.0,0.0033972
907.0,907.0,5.782601E-4
908.0,908.0,2.264855E-14
909.0,909.0,4.85358E-6
910.0,910.0,0.033065684
911.0,911.0,2.2302422E-4
912.0,912.0,0.02902327
913.0,913.0,2.166561E-5
914.0,914.0,0.009402656
915.0,915.0,2.2160052E-13
